#SPIKE measurement file - Tool Measurement /  Analyser 2016 (SPIKE@pro-micron GmbH)
#date: 14.06.2024 operator: 
#process: 
#tool: 
#material: 
#tool gage: 30.6
#d = 8          z = 
#ap =           ae = 
#vc =           n = 
#f =           vf = 
#X = 
#cooling: 
#unit type: 
#note: 8mm good with minimum rpm
#BTKaBlue Version: 
#READ Version: READ 1.2 SW-Version: 0x0002
SPIKE Version: SPIKE 1.2
#SW-Version: 0x0006
#SN-Nr.: 0xA408
#cal tension: 2,842223
#cal torsion: 0,024086
#cal bending moment X: 0,023242
#cal bending moment Y: 0,023070
#lever arm: 48.2
#SPIKE position: 
#autoBM: 
#triggerchannel:  triggervalue: 
###
Tension;Torsion;Bending moment X;Bending moment Y;Time;Temperature
[N];[Nm];[Nm];[Nm];[s];[°C]
11.368892;0.674408;-0.464840;-0.461400;0.000000;26.125000
-5.684446;0.192688;0.418356;0.645960;0.000400;26.125000
-11.368892;-0.915268;-0.092968;0.599820;0.000800;26.125000
22.737783;1.156128;-0.371872;0.922800;0.001200;26.125000
-5.684446;-0.481720;-0.650776;0.553680;0.001600;26.125000
-45.475567;-0.096344;-0.418356;0.046140;0.002000;26.125000
-119.373360;-0.096344;-0.836712;-0.322980;0.002400;26.125000
90.951134;0.337204;-1.115616;0.784380;0.002800;26.125000
-45.475567;-0.963440;-0.185936;0.876660;0.003200;26.125000
-45.475567;-0.144516;0.697260;1.476480;0.003600;26.125000
-153.480042;0.481720;0.092968;-0.138420;0.004000;26.125000
0.000000;0.433548;0.139452;0.184560;0.004400;26.125000
-11.368892;-0.818924;-0.278904;0.461400;0.004800;26.125000
-102.320023;0.433548;-0.743744;0.184560;0.005200;26.125000
-11.368892;-0.674408;0.139452;0.415260;0.005600;26.125000
-28.422230;-0.481720;-0.464840;-0.046140;0.006000;26.125000
-51.160011;0.867096;0.464840;0.461400;0.006400;26.125000
11.368892;0.240860;-0.278904;0.322980;0.006800;26.125000
56.844460;-0.192688;0.790228;0.692100;0.007200;26.125000
96.635582;0.433548;-1.301552;0.599820;0.007600;26.125000
22.737783;-0.722580;-0.511324;0.276840;0.008000;26.125000
45.475567;0.578064;0.278904;0.599820;0.008400;26.125000
-11.368892;0.818924;0.790228;0.230700;0.008800;26.125000
51.160011;1.204300;1.766392;0.784380;0.009200;26.125000
-39.791122;1.059784;-0.185936;0.322980;0.009600;26.125000
28.422230;0.529892;0.185936;0.553680;0.010000;26.125000
-164.848923;-1.445160;0.278904;0.046140;0.010400;26.125000
-45.475567;-0.240860;0.418356;-0.322980;0.010800;26.125000
45.475567;0.481720;-0.790228;0.553680;0.011200;26.125000
11.368892;-0.818924;0.139452;0.138420;0.011600;26.125000
102.320023;-0.096344;0.092968;1.614900;0.012000;26.125000
-11.368892;-0.722580;-0.511324;-0.415260;0.012400;26.125000
11.368892;0.289032;-0.929680;0.230700;0.012800;26.125000
-28.422230;-0.337204;-0.464840;0.092280;0.013200;26.125000
-90.951134;-0.240860;0.139452;0.276840;0.013600;26.125000
-5.684446;-0.240860;-0.883196;0.000000;0.014000;26.125000
17.053337;-0.481720;-0.464840;0.138420;0.014400;26.125000
-11.368892;-0.481720;1.208584;1.107360;0.014800;26.125000
-17.053337;-0.192688;0.046484;0.461400;0.015200;26.125000
-34.106674;0.289032;-0.418356;-0.369120;0.015600;26.125000
51.160011;0.096344;0.418356;0.461400;0.016000;26.125000
51.160011;0.240860;-0.697260;-1.384200;0.016400;26.125000
-153.480042;0.433548;0.883196;-0.230700;0.016800;26.125000
0.000000;-0.048172;-0.139452;-0.876660;0.017200;26.125000
-11.368892;0.048172;-0.371872;0.184560;0.017600;26.125000
51.160011;0.674408;-1.022648;0.000000;0.018000;26.125000
90.951134;-0.578064;0.650776;0.184560;0.018400;26.125000
22.737783;-0.674408;-0.278904;-0.553680;0.018800;26.125000
79.582245;0.770752;-0.046484;-1.107360;0.019200;26.125000
-22.737783;0.337204;-0.046484;-1.199640;0.019600;26.125000
113.688919;0.385376;0.185936;-0.138420;0.020000;26.125000
56.844460;1.107956;0.371872;0.599820;0.020400;26.125000
-22.737783;0.289032;-0.325388;0.000000;0.020800;26.125000
45.475567;0.385376;-0.278904;0.184560;0.021200;26.125000
51.160011;0.048172;0.232420;0.184560;0.021600;26.125000
51.160011;-0.481720;0.046484;-1.614900;0.022000;26.125000
-5.684446;-0.626236;-0.325388;0.415260;0.022400;26.125000
164.848923;0.144516;-0.092968;-0.784380;0.022800;26.125000
39.791122;0.240860;-1.301552;1.015080;0.023200;26.125000
34.106674;0.626236;-0.557808;0.507540;0.023600;26.125000
11.368892;-0.529892;-0.464840;-0.276840;0.024000;26.125000
-51.160011;-0.385376;-0.743744;0.000000;0.024400;26.125000
108.004471;-0.674408;-0.092968;-1.291920;0.024800;26.125000
-39.791122;-0.289032;0.604292;0.230700;0.025200;26.125000
17.053337;0.385376;0.464840;-0.645960;0.025600;26.125000
22.737783;1.541504;0.000000;0.138420;0.026000;26.125000
11.368892;0.915268;0.046484;-0.369120;0.026400;26.125000
62.528904;0.433548;-1.301552;0.184560;0.026800;26.125000
51.160011;-0.770752;-0.836712;0.369120;0.027200;26.125000
45.475567;-0.289032;-1.022648;-0.599820;0.027600;26.125000
5.684446;-0.770752;-0.604292;-0.645960;0.028000;26.125000
-22.737783;-0.192688;-0.139452;-0.276840;0.028400;26.125000
-17.053337;-0.096344;-0.464840;0.922800;0.028800;26.125000
-5.684446;0.144516;0.139452;0.369120;0.029200;26.125000
-17.053337;0.240860;-0.929680;-1.015080;0.029600;26.125000
-51.160011;0.144516;-0.325388;0.692100;0.030000;26.125000
11.368892;-0.337204;-0.929680;-0.415260;0.030400;26.125000
-28.422230;0.144516;-0.371872;0.553680;0.030800;26.125000
22.737783;-0.578064;0.092968;0.876660;0.031200;26.125000
0.000000;0.722580;0.325388;0.276840;0.031600;26.125000
-28.422230;0.240860;0.092968;0.461400;0.032000;26.125000
-28.422230;0.385376;0.836712;0.692100;0.032400;26.125000
-39.791122;0.433548;-0.557808;1.661040;0.032800;26.125000
-5.684446;0.048172;0.371872;-0.369120;0.033200;26.125000
39.791122;-0.337204;-0.743744;1.107360;0.033600;26.125000
62.528904;0.529892;-0.464840;0.784380;0.034000;26.125000
73.897797;0.674408;-0.464840;1.522620;0.034400;26.125000
5.684446;-0.096344;0.278904;0.461400;0.034800;26.125000
45.475567;0.578064;0.418356;0.507540;0.035200;26.125000
5.684446;0.096344;-0.557808;0.369120;0.035600;26.125000
-28.422230;-1.493332;0.511324;0.369120;0.036000;26.125000
-102.320023;-0.722580;0.139452;1.614900;0.036400;26.125000
-73.897797;0.048172;0.139452;1.384200;0.036800;26.125000
